"""THB""","""bat (Tajlandia)""",0.1266
"""USD""","""dolar amerykañski""",4.3369
"""AUD""","""dolar australijski""",3.0808
"""HKD""","""dolar Hongkongu""",0.5525
"""CAD""","""dolar kanadyjski""",3.3883
"""NZD""","""dolar nowozelandzki""",2.8058
"""SGD""","""dolar singapurski""",3.1549
"""EUR""","""euro""",4.6171
"""HUF""","""forint (Wêgry)""",0.01207
"""CHF""","""frank szwajcarski""",4.4755
"""GBP""","""funt szterling""",5.4524
"""UAH""","""hrywna (Ukraina)""",0.1467
"""JPY""","""jen (Japonia)""",0.033999
"""CZK""","""korona czeska""",0.1879
"""DKK""","""korona duñska""",0.6205
"""ISK""","""korona islandzka""",0.033288
"""NOK""","""korona norweska""",0.4501
"""SEK""","""korona szwedzka""",0.4396
"""HRK""","""kuna (Chorwacja)""",0.6128
"""RON""","""lej rumuñski""",0.9333
"""BGN""","""lew (Bu³garia)""",2.3607
"""TRY""","""lira turecka""",0.2722
"""ILS""","""nowy izraelski szekel""",1.292
"""CLP""","""peso chilijskie""",0.005185
"""PHP""","""peso filipiñskie""",0.083
"""MXN""","""peso meksykañskie""",0.2202
"""ZAR""","""rand (Republika Po³udniowej Afryki)""",0.2741
"""BRL""","""real (Brazylia)""",0.8888
"""MYR""","""ringgit (Malezja)""",0.9884
"""IDR""","""rupia indonezyjska""",0.00029556
"""INR""","""rupia indyjska""",0.055915
"""KRW""","""won po³udniowokoreañski""",0.00343
"""CNY""","""yuan renminbi (Chiny)""",0.6509
"""XDR""","""SDR (MFW)""",5.8688
